id,age,sex,group,score_pre,score_post,diff
1,32,Female,Control,41.5,68.9,27.400000000000006
2,28,Female,Treatment,49.5,68.1,18.599999999999994
3,23,Male,Treatment,49.8,60.0,10.200000000000003
4,34,Female,Treatment,57.6,44.1,-13.5
5,32,Male,Treatment,41.4,59.1,17.700000000000003
6,22,Male,Treatment,47.4,46.6,-0.7999999999999972
7,26,Female,Treatment,48.7,53.3,4.599999999999994
8,21,Female,Treatment,53.7,59.0,5.299999999999997
9,20,Male,Control,47.9,54.0,6.100000000000001
10,39,Female,Control,35.3,75.1,39.8
11,26,Female,Treatment,36.9,54.6,17.700000000000003
12,32,Male,Treatment,62.3,51.0,-11.299999999999997
13,30,Female,Control,45.3,52.0,6.700000000000003
14,28,Male,Control,51.2,63.6,12.399999999999999
15,22,Female,Control,50.4,38.2,-12.199999999999996
16,22,Female,Control,53.9,49.6,-4.299999999999997
17,31,Female,Treatment,63.8,43.0,-20.799999999999997
18,35,Female,Treatment,50.5,51.1,0.6000000000000014
19,17,Male,Treatment,58.1,36.5,-21.6
20,22,Male,Control,55.3,50.8,-4.5
21,27,Male,Control,52.8,62.5,9.700000000000003
22,34,Male,Treatment,39.1,46.1,7.0
23,31,Male,Control,45.7,64.2,18.5
24,33,Male,Control,59.5,46.6,-12.899999999999999
25,29,Male,Control,47.0,51.7,4.700000000000003
26,22,Female,Treatment,46.7,41.9,-4.800000000000004
27,27,Female,Treatment,47.4,58.8,11.399999999999999
28,36,Male,Control,38.1,58.2,20.1
29,29,Female,Control,41.9,55.0,13.100000000000001
30,21,Female,Treatment,52.1,62.6,10.5
31,36,Male,Control,41.3,48.9,7.600000000000001
32,31,Female,Treatment,37.4,71.5,34.1
33,32,Female,Control,57.3,55.3,-2.0
34,40,Female,Treatment,58.3,45.7,-12.599999999999994
35,25,Male,Treatment,49.4,50.8,1.3999999999999986
36,24,Male,Control,40.1,53.1,13.0
37,13,Female,Treatment,59.9,41.9,-18.0
